Rank,Count,Word
0,36,state
1,29,congress
2,25,government
3,24,upon
4,21,one
5,21,labor
6,20,union
7,20,country
8,19,court
9,18,general
10,17,people
11,16,capital
12,14,year
13,14,power
14,14,nation
15,14,law
16,13,may
17,13,insurgent
18,12,right
19,12,person
20,11,time
21,11,territory
22,11,present
23,11,great
24,11,circuit
25,10,shall
26,10,secretary
27,10,number
28,10,men
29,10,made
30,10,large
31,10,army
32,10,also
33,10,act
34,9,whole
35,9,well
36,9,united
37,9,supreme
38,9,subject
39,9,recommend
40,9,public
41,9,part
42,9,many
43,9,judge
44,9,insurrection
45,9,foreign
46,9,condition
47,9,claim
48,9,citizen
49,9,attention
50,9,already
51,8,war
52,8,vessel
53,8,thus
54,8,since
55,8,new
56,8,mean
57,8,last
58,8,laborer
59,8,justice
60,8,however
61,8,far
62,8,consideration
63,7,without
64,7,view
65,7,system
66,7,report
67,7,recommendation
68,7,measure
69,7,leaving
70,7,interest
71,7,importance
72,7,hired
73,7,free
74,7,force
75,7,duty
76,7,department
77,7,commerce
78,7,cause
79,6,whether
80,6,u
81,6,therefore
82,6,service
83,6,officer
84,6,military
85,6,make
86,6,line
87,6,let
88,6,increase
89,6,including
90,6,hope
91,6,give
92,6,existing
93,6,could
94,6,case
95,6,appropriation
96,6,administration
97,6,1861
98,5,way
99,5,two
100,5,think
101,5,stated
102,5,slave
103,5,single
104,5,serve
105,5,revenue
106,5,relation
107,5,reason
108,5,question
109,5,purpose
110,5,provided
111,5,principle
112,5,political
113,5,plan
114,5,permanent
115,5,pension
116,5,peace
117,5,organization
118,5,operation
119,5,object
120,5,north
121,5,neither
122,5,much
123,5,might
124,5,making
125,5,life
126,5,land
127,5,kentucky
128,5,judicial
129,5,indian
130,5,independent
131,5,given
132,5,future
133,5,expenditure
134,5,expediency
135,5,event
136,5,especially
137,5,engaged
138,5,domestic
139,5,class
140,5,ask
141,5,adopted
142,5,acquisition
143,4,within
144,4,virginia
145,4,valuable
146,4,useful
147,4,treasury
148,4,trade
149,4,three
150,4,thing
151,4,taken
152,4,take
153,4,support
154,4,submitted
155,4,submit
156,4,southern
157,4,south
158,4,source
159,4,said
160,4,respectively
161,4,respectfully
162,4,receipt
163,4,railroad
164,4,provision
165,4,protection
166,4,proper
167,4,probably
168,4,possible
169,4,portion
170,4,population
171,4,popular
172,4,point
173,4,place
174,4,patriotism
175,4,others
176,4,organized
177,4,open
178,4,office
179,4,navy
180,4,national
181,4,must
182,4,mind
183,4,majority
184,4,loyal
185,4,legislature
186,4,le
187,4,june
188,4,interior
189,4,improvement
190,4,hire
191,4,good
192,4,form
193,4,favor
194,4,extensive
195,4,evil
196,4,every
197,4,even
198,4,estimated
199,4,ending
200,4,end
201,4,efficiency
